 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   25.0715    4.0000    9.8891    9.7293    4.1764    2.4370    3.5889    2.2975  7.4319E+00     -0.3205  3.0210E-01
   25.0997    4.0000    9.8891    9.7238    4.1719    2.4339    3.5893    2.3045  7.4193E+00     -0.3205  3.0637E-01
   25.1279    4.0000    9.8891    9.7184    4.1679    2.4310    3.5897    2.3116  7.4068E+00     -0.3205  3.1017E-01
   25.1560    4.0000    9.8891    9.7130    4.1643    2.4285    3.5901    2.3187  7.3944E+00     -0.3205  3.1352E-01
   25.1842    4.0000    9.8891    9.7078    4.1611    2.4263    3.5904    2.3257  7.3820E+00     -0.3205  3.1642E-01
   25.2124    4.0000    9.8891    9.7026    4.1584    2.4244    3.5907    2.3328  7.3698E+00     -0.3205  3.1890E-01
   25.2406    4.0000    9.8891    9.6975    4.1560    2.4228    3.5909    2.3399  7.3576E+00     -0.3205  3.2097E-01
   25.2687    4.0000    9.8891    9.6924    4.1540    2.4214    3.5911    2.3469  7.3454E+00     -0.3205  3.2266E-01
   25.2969    4.0000    9.8891    9.6874    4.1522    2.4202    3.5912    2.3540  7.3333E+00     -0.3205  3.2399E-01
   25.3251    4.0000    9.8891    9.6823    4.1508    2.4193    3.5913    2.3611  7.3213E+00     -0.3205  3.2498E-01
   25.3532    4.0000    9.8891    9.6774    4.1496    2.4185    3.5914    2.3681  7.3092E+00     -0.3205  3.2567E-01
   25.3814    4.0000    9.8891    9.6724    4.1487    2.4179    3.5915    2.3752  7.2972E+00     -0.3205  3.2608E-01
   25.4096    4.0000    9.8891    9.6675    4.1479    2.4175    3.5915    2.3823  7.2852E+00     -0.3205  3.2624E-01
   25.4378    4.0000    9.8891    9.6626    4.1474    2.4171    3.5915    2.3893  7.2733E+00     -0.3205  3.2618E-01
   25.4659    4.0000    9.8891    9.6577    4.1470    2.4169    3.5915    2.3964  7.2613E+00     -0.3205  3.2594E-01
   25.4941    4.0000    9.8891    9.6528    4.1467    2.4168    3.5915    2.4035  7.2493E+00     -0.3205  3.2553E-01
   25.5223    4.0000    9.8891    9.6479    4.1466    2.4168    3.5915    2.4105  7.2374E+00     -0.3205  3.2501E-01
   25.5505    4.0000    9.8891    9.6430    4.1465    2.4168    3.5915    2.4176  7.2254E+00     -0.3205  3.2439E-01
   25.5786    4.0000    9.8891    9.6381    4.1465    2.4169    3.5914    2.4247  7.2135E+00     -0.3205  3.2371E-01
   25.6068    4.0000    9.8891    9.6333    4.1614    2.4124    3.5974    2.4317  6.2263E+00     -0.3205  3.5412E-01
   25.6238    4.0000    9.8891    9.6302    4.1850    2.3696    3.6247    2.4360  1.2891E+00     -0.3205  9.0489E-01
   25.6415    4.0000    9.8891    9.6271    4.1967    2.3269    3.6490    2.4404  1.4867E-01     -0.3205  2.2511E+00
   25.6599    4.0000    9.8891    9.6239    4.2056    2.2844    3.6725    2.4451  4.1133E-03     -0.3205  4.1573E+00
   25.6792    4.0000    9.8891    9.6209    4.2131    2.2421    3.6955    2.4499  1.0000E-10     -0.3205  5.3047E+00
   25.6993    4.0000    9.8891    9.6178    4.2199    2.1999    3.7183    2.4549  1.0000E-10     -0.3205  6.2735E+00
   25.7205    4.0000    9.8891    9.6148    4.2261    2.1579    3.7408    2.4603  1.0000E-10     -0.3205  7.4142E+00
   25.7429    4.0000    9.8891    9.6118    4.2319    2.1162    3.7632    2.4659  1.0000E-10     -0.3205  8.7553E+00
   25.7667    4.0000    9.8891    9.6088    4.2375    2.0746    3.7853    2.4718  1.0000E-10     -0.3205  1.0329E+01
   25.7948    4.0000    9.8891    9.6054    4.2436    2.0290    3.8097    2.4789  1.0000E-10     -0.3205  1.2382E+01
